Price,Age,Mileage,FuelType,Horsepower,MetColor,Automatic,Displacement,Doors,Weight
16605,23,29196,Diesel,90,1,0,122,3,2568
16913,23,45321,Diesel,90,1,0,122,3,2568
17159,24,25918,Diesel,90,1,0,122,3,2568
18389,26,29826,Diesel,90,0,0,122,3,2568
16913,30,23923,Diesel,90,0,0,122,3,2579
15929,32,37904,Diesel,90,0,0,122,3,2579
20787,27,58789,Diesel,90,1,0,122,3,2745
22878,30,47155,Diesel,90,1,0,122,3,2745
26445,27,12241,Petrol,192,0,0,110,3,2612
15929,23,44203,Diesel,69,0,0,116,3,2436
25769,25,19549,Petrol,192,0,0,110,3,2612
24539,22,27098,Petrol,192,0,0,110,3,2612
24108,25,20001,Petrol,192,0,0,110,3,2612
26445,31,14292,Petrol,192,1,0,110,3,2612
27675,32,21208,Petrol,192,1,0,110,3,2612
27060,28,11644,Petrol,192,0,0,110,3,2612
27983,30,21127,Petrol,192,1,0,110,3,2612
22079,24,13494,Petrol,110,1,0,98,3,2436
20603,24,15884,Petrol,110,0,0,98,3,2348
20849,30,39991,Petrol,110,1,0,98,3,2436
19619,30,42042,Petrol,110,1,0,98,3,2436
20849,29,27281,Petrol,110,0,1,98,3,2579
19619,28,35014,Petrol,110,1,0,98,3,2469
20849,28,20021,Petrol,110,1,0,98,3,2469
19988,29,16039,Petrol,110,1,0,98,3,2469
19619,25,17678,Petrol,110,1,0,98,3,2469
21519,27,21465,Petrol,110,1,0,98,3,2469
19373,29,25734,Petrol,110,1,0,98,3,2469
20849,28,27429,Petrol,110,0,0,98,3,2469
22079,30,6891,Petrol,110,1,0,98,3,2469
15929,29,6058,Petrol,97,1,0,85,3,2425
19373,22,21872,Petrol,97,1,0,85,3,2425
19619,27,18337,Petrol,97,1,0,85,3,2425
18389,26,20314,Petrol,97,1,0,85,3,2425
19065,22,25476,Petrol,97,1,0,85,3,2425
19373,26,26719,Petrol,97,0,0,85,3,2425
19619,25,15534,Petrol,97,0,0,85,3,2425
18389,23,6214,Petrol,97,1,0,85,3,2425
19373,32,15739,Petrol,97,1,0,85,3,2425
18143,27,17088,Petrol,97,0,0,85,3,2425
17159,22,30484,Petrol,97,0,0,85,3,2425
20603,27,27383,Petrol,97,1,0,85,3,2425
17159,22,29180,Petrol,97,0,0,85,3,2425
20849,27,68602,Diesel,90,0,0,122,5,2767
20849,22,62292,Diesel,90,0,0,122,5,2767
23370,23,52195,Diesel,90,0,0,122,5,2800
22079,27,49321,Diesel,90,1,0,122,5,2767
19434,22,46633,Petrol,97,1,0,85,5,2447
22079,22,44872,Diesel,90,1,0,122,5,2767
26999,31,40378,Petrol,192,1,0,110,5,2635
22079,22,38920,Diesel,90,1,0,122,5,2767
19373,30,35472,Petrol,97,1,0,85,5,2447
25215,26,34797,Petrol,110,1,1,98,5,2601
26999,27,30985,Petrol,192,1,0,110,5,2635
19065,25,30548,Petrol,110,0,1,98,5,2568
16298,32,28412,Petrol,110,1,0,98,5,2370
18758,28,26849,Petrol,97,0,0,85,5,2447
18758,26,26719,Petrol,97,0,0,85,5,2447
23309,23,24671,Petrol,110,1,1,98,5,2601
19679,30,24202,Petrol,110,1,0,98,5,2491
18389,22,23239,Petrol,97,1,0,85,5,2447
20295,27,23101,Petrol,110,0,0,98,5,2491
23063,31,22707,Petrol,110,1,0,98,5,2491
22079,30,20823,Petrol,110,1,0,98,5,2491
22079,27,20387,Petrol,97,1,0,85,5,2447
20849,26,19996,Petrol,110,1,0,98,5,2370
23309,28,19258,Petrol,110,1,0,98,5,2491
18389,22,18890,Petrol,97,1,0,85,5,2447
27368,22,18641,Diesel,110,1,0,122,5,2811
19619,25,18467,Petrol,97,1,0,85,5,2447
19619,28,18148,Petrol,97,1,0,85,5,2447
15984,32,18143,Petrol,97,1,0,85,5,2337
23309,28,17906,Petrol,110,1,0,98,5,2491
19373,23,17539,Petrol,97,1,0,85,5,2447
24539,28,17398,Petrol,110,0,0,98,5,2491
20849,23,17398,Petrol,110,1,0,98,5,2458
23063,31,15700,Petrol,110,1,0,98,5,2491
22694,27,14595,Petrol,110,0,0,98,5,2458
20781,29,14027,Petrol,110,1,0,98,5,2458
18327,30,13670,Petrol,97,1,0,85,5,2447
23309,25,12439,Petrol,110,1,1,98,5,2601
21218,29,12427,Petrol,110,1,0,98,5,2458
19004,25,10565,Petrol,97,1,0,85,5,2447
22079,31,10090,Petrol,110,1,1,98,5,2601
20480,25,9578,Petrol,97,1,0,85,5,2447
21464,28,5305,Petrol,110,1,0,98,5,2491
18327,30,4350,Petrol,97,1,0,85,5,2425
22079,20,41611,Diesel,90,1,0,122,3,2745
19619,19,32239,Petrol,97,1,0,85,3,2425
26999,19,31072,Diesel,110,1,0,122,3,2789
20234,20,29894,Petrol,97,1,0,85,3,2425
27368,20,23301,Diesel,90,1,0,122,3,2778
24539,16,21420,Diesel,90,1,0,122,3,2778
19619,20,20710,Petrol,97,1,0,85,3,2425
23247,20,19791,Petrol,110,0,0,98,3,2469
24539,17,18859,Diesel,90,1,0,122,3,2778
19619,19,18290,Petrol,97,1,0,85,3,2425
19619,19,16123,Petrol,97,1,0,85,3,2425
23063,11,15224,Petrol,110,1,0,98,3,2469
21464,18,14852,Petrol,97,1,0,85,3,2425
23358,20,14400,Petrol,110,1,0,98,3,2469
19988,19,11930,Petrol,97,1,0,85,3,2425
22755,13,11185,Petrol,71,0,0,85,3,2480
22755,11,10018,Petrol,110,1,0,98,3,2436
23924,11,9094,Petrol,110,1,1,98,3,2546
20849,19,8543,Petrol,97,1,0,85,3,2425
23124,14,7146,Petrol,110,1,0,98,3,2304
21464,17,6214,Petrol,97,1,0,85,3,2425
